Member,Percent
Shion,42.16
Watame,36.96
Kanata,32.21
Miko,32.07
Raden,31.66
Sora,31.04
Ina,30.14
Marine,30.02
Azki,29.32
Towa,29.13
Fubuki,28.35
Kanade,27.53
Choco,27.36
Shiori,27.19
Mio,26.95
Okayu,26.85
Laplus,25.78
Iroha,25.02
Luna,24.72
FuwaMoco,24.61
Koyori,24.42
Lamy,23.96
Ayame,23.87
Chloe,23.71
Ririka,23.71
Gura,23.59
Flare,23.12
Kiara,22.37
Fauna,22.31
IRyS,21.98
Nene,21.93
Mumei,20.92
Subaru,20.41
Hajime,19.9
Calli,19.33
Kronii,18.86
Noel,18.85
Pekora,18.58
Aki,18.43
Korone,18.03
Nerissa,17.88
Aqua,17.82
Reine,17.59
Kaela,17.4
Lui,15.45
Botan,15.31
Bijou,15
Polka,14.52
Matsuri,13.59
Haato,13.43
Roboco,12.98
Baelz,12.72
Ao,12.05
Moona,11.91
Ollie,11.86
Zeta,11.56
Risu,11.33
Kobo,10.45
Anya,9.22
Iofi,7.25
