Member,Percent
Iroha,49.07
Raden,41.18
Suisei,40.55
Watame,34.26
Fubuki,31.9
Shion,31.36
Ina,30.64
Kanata,29.19
AZki,28.86
Chloe,28.61
Flare,28.14
Miko,27.59
Aki,26.75
Marine,25.9
Ayame,25.57
Ririka,24.61
Nene,23.67
Polka,23.25
Fauna,22.99
Sora,22.8
Mio,22.67
Lamy,22.58
Shiori,22.21
Hajime,22.2
Elizabeth,21.9
IRyS,21.21
Luna,21.15
Mumei,21.12
Pekora,21.07
Noel,20.92
Su,20.67
Riona,20.36
Okayu,20.1
Kanade,19.93
Subaru,19.83
FuwaMoco,19.49
Chihaya,19.24
Calli,18.32
Koyori,17.99
Cecilia,17.46
Kiara,17.24
Botan,17.18
Laplus,17.05
Baelz,16.02
Gigi,15.98
Korone,15.52
Towa,15.42
Raora,15.08
Niko,15.04
Gura,15.02
Matsuri,14.96
Nerissa,14.9
Kronii,14.5
Lui,14.15
Roboco,13.18
Vivi,12.76
Bijou,12.4
Ao,11.29
Haato,10.91
Risu,10.9
Kaela,10.66
Choco,10.62
Anya,10.29
Zeta,10.02
Reine,8.29
Moona,7.34
Ollie,6.95
Iofi,6.32
Kobo,6.17
