Member,Percent
Suisei,44.61
Watame,36.23
Azki,32.78
Iroha,32.66
Miko,32.38
Ayame,31.88
Ina,31.53
Fubuki,30.71
Raden,30.63
Marine,30.15
Flare,28.86
Nene,28.08
Hajime,27.6
Chloe,27.47
Kanata,27.07
Sora,26.27
Shiori,26.03
Luna,25.53
Laplus,24.84
Towa,24.82
Polka,23.89
Mio,23.78
Kanade,23.4
Okayu,22.83
Lamy,22.3
Koyori,22.28
Ririka,22.22
Pekora,21.52
Fauna,20.76
Korone,20.4
Lui,20.23
Mumei,20.07
Nerissa,19.05
IRyS,19.04
Reine,19
Botan,18.98
Kronii,18.88
FuwaMoco,18.37
Calli,18.3
Kiara,18.08
Noel,17.78
Aqua,17.6
Subaru,17.51
Roboco,16.97
Matsuri,16.31
Bijou,16.07
Ao,15.05
Haato,14.11
Aki,13.88
Choco,12.88
Moona,12.28
Kaela,11.38
Amelia,11.28
Risu,10.94
Raora,10.78
Cecilia,10.44
Baelz,10.17
Anya,10.06
Zeta,8.63
Gigi,8.45
Iofi,6.48
Ollie,5.51
Kobo,2.9
