Member,Percent
Ina,37.94
Suisei,35.57
Watame,35.43
Fubuki,34.23
Raden,32.06
Miko,31.46
Shiori,31.01
Ayame,30.39
Mio,28.72
Kanata,27.53
Luna,27.21
Azki,25.89
Marine,25.61
Iroha,25.41
Elizabeth,23.88
Towa,23.28
Flare,23.27
Sora,23.13
Pekora,22.44
FuwaMoco,21.51
Koyori,21.14
Hajime,20.8
Okayu,20.77
Kanade,20.74
Laplus,20.12
Cecilia,20.08
Polka,19.72
Raora,19.48
Shion,19.4
IRyS,19.3
Korone,19.06
Kiara,18.98
Chloe,18.95
Aki,18.37
Lamy,18.13
Ririka,17.95
Nene,17.92
Noel,17.9
Calli,17.7
Botan,17.43
Subaru,16.73
Roboco,16.59
Fauna,16.42
Baelz,16.19
Lui,15.87
Nerissa,15.73
Kronii,15.68
Choco,14.97
Bijou,14.37
Gigi,14.09
Risu,13.13
Kaela,12.69
Haato,12.06
Ao,11.96
Reine,11.01
Zeta,9.74
Matsuri,8.95
Anya,8.38
Ollie,8.3
Moona,7.48
Iofi,7.05
Kobo,6.92
