Member,Percent
Watame,36.83
Raden,35.13
Suisei,34.41
Iroha,33.06
Fubuki,32.87
Sora,31.5
Miko,29.57
Marine,29.13
Flare,28.24
Ina,27.96
Azki,27.63
Kanata,26.99
Shiori,26.75
Nene,26.43
Lamy,25.88
Kanade,25.79
Laplus,25.28
Luna,25.24
Matsuri,24.7
Chloe,24.7
Okayu,24.29
Towa,23.75
Mio,23.52
Ririka,23.38
Amelia,23.11
Polka,22.51
Fauna,22.48
Pekora,22.17
Koyori,20.43
Mumei,20.28
Hajime,20.14
FuwaMoco,20.1
Noel,19.39
Kronii,19.38
Lui,19.07
Calli,18.36
Aki,17.94
IRyS,17.86
Choco,17.73
Haato,17.63
Aqua,17.33
Botan,17.18
Roboco,16.79
Subaru,16.65
Gura,16.4
Baelz,16.24
Korone,15.05
Kiara,14.29
Nerissa,13.91
Bijou,12.6
Kaela,11.75
Ao,11.02
Anya,10.57
Reine,10.22
Zeta,8.75
Risu,8.59
Moona,7.4
Iofi,5.7
Ollie,5.52
Kobo,4.07
