Member,Percent
Ayame,34.4
Suisei,33.86
Raden,33.66
Watame,33.53
Iroha,31.89
Fubuki,28.95
Miko,28.64
Towa,27.66
Mumei,24.97
Ina,24.56
Okayu,24.48
Azki,24.31
Shiori,24.26
Luna,23.93
Ririka,23.67
Hajime,23.5
Pekora,23.23
Mio,23.12
Marine,22.59
Chihaya,22.5
Lamy,22.41
Kanata,21.97
Gura,21.78
IRyS,21.32
Calli,20.98
Polka,20.04
FuwaMoco,19.96
Shion,19.95
Aki,19.71
Kanade,19.51
Nene,19.48
Flare,19.29
Sora,19.24
Botan,18.28
Elizabeth,18.28
Riona,17.96
Su,17.84
Subaru,17.66
Cecilia,17.66
Koyori,17.55
Nerissa,17.12
Choco,16.8
Korone,16.78
Kronii,16.52
Noel,16.39
Raora,15.97
Laplus,15.75
Kiara,14.79
Gigi,14.52
Lui,14.46
Anya,13.81
Roboco,12.88
Risu,12.62
Matsuri,12.29
Niko,11.87
Baelz,10.65
Haato,10.6
Zeta,10.41
Ao,10.4
Bijou,9.42
Iofi,9.21
Vivi,8.87
Kaela,8.77
Reine,8.25
Moona,6.69
Ollie,5.66
Kobo,4.12
