Member,Percent
Watame,36.65
Suisei,35.78
Ayame,34.12
Raden,31.82
Azki,31.62
Shiori,30.28
Kanata,29.07
Miko,28.15
Chloe,28.15
Marine,27.77
Luna,27.54
Fubuki,27.38
Mumei,26.49
Calli,25.51
Iroha,24.68
Okayu,24.42
Flare,24.18
Lamy,24.1
Ina,23.45
Ririka,22.62
Kronii,22.57
Amelia,21.87
FuwaMoco,21.86
Aki,21.09
Fauna,20.91
Towa,20.39
IRyS,19.85
Laplus,19.7
Koyori,19.41
Hajime,19.32
Noel,19.29
Matsuri,19.17
Nene,18.75
Kanade,18.68
Bijou,18.62
Pekora,18.45
Nerissa,18.42
Sora,18
Botan,17.71
Gura,17.62
Kiara,17.23
Korone,16.75
Aqua,16.4
Lui,15.78
Subaru,15.75
Choco,15.43
Polka,15.2
Roboco,14.97
Haato,14.9
Baelz,13.76
Kaela,11.45
Ao,11.37
Risu,10.77
Reine,10.15
Zeta,9.81
Moona,9.8
Anya,9.49
Ollie,7.74
Iofi,5.8
Kobo,4.44
