Member,Percent
Suisei,35.21
Raden,33.21
Iroha,32.88
Chloe,32.38
Watame,31.87
AZki,28.81
Flare,27.8
Miko,27.37
Nene,27.09
Ayame,26.29
Fubuki,25.5
Elizabeth,24.99
Kanata,24.45
Ina,24.31
Chihaya,24.21
Marine,23.51
Polka,23.23
Shiori,23.19
Sora,22.85
Lamy,22.65
Luna,22.43
IRyS,22.21
Mio,21.92
FuwaMoco,21.9
Cecilia,21.89
Aki,21.55
Okayu,21.22
Koyori,20.77
Mumei,20.45
Shion,20.22
Su,20.2
Nerissa,19.77
Fauna,19.35
Ririka,19.15
Pekora,18.7
Towa,18.68
Laplus,18.46
Kronii,18.46
Botan,18.18
Kanade,18.01
Roboco,17.72
Hajime,17.68
Subaru,16.88
Korone,16.66
Calli,16.22
Gigi,15.55
Raora,15.1
Noel,15.05
Lui,14.4
Baelz,14.27
Risu,14.01
Kiara,13.93
Choco,13.82
Riona,13.53
Bijou,12.93
Anya,12.75
Zeta,11.96
Vivi,11.25
Haato,11.14
Kaela,10.48
Matsuri,9.87
Ao,8.9
Moona,8.55
Reine,7.8
Ollie,7.52
Niko,7.45
Kobo,6.65
Iofi,6.23
