Member,Percent
Suisei,39.34
Watame,34.33
Nene,32.71
Raden,32.57
Amelia,29.11
Marine,28.92
Elizabeth,28.12
Miko,28.07
Fubuki,27.62
Gura,25.28
Ayame,25.11
Towa,25.05
Ina,25.04
Iroha,24.43
Azki,24.4
Kanade,23.77
Sora,23.63
Okayu,23.41
Lamy,23.24
Chloe,22.8
Flare,22.29
Shiori,22.12
Hajime,21.72
Aki,21.63
Luna,21.56
Mio,21.49
Polka,20.76
Kanata,20.15
Fauna,19.8
Shion,19.53
FuwaMoco,19.44
Haato,19.25
Pekora,18.84
Korone,18.68
Choco,18.64
Noel,18.13
Cecilia,17.99
Mumei,17.87
Koyori,17.29
Subaru,16.91
Raora,16.72
Kiara,16.71
Gigi,16.48
Nerissa,15.81
IRyS,15.76
Calli,15.5
Kronii,15.32
Botan,15.09
Laplus,14.88
Roboco,14.75
Ririka,14.63
Baelz,14
Matsuri,13.95
Bijou,12.68
Ao,12.52
Lui,11.89
Reine,11.45
Risu,11.38
Kaela,9.88
Anya,9.3
Zeta,8.7
Ollie,7.83
Moona,6.18
Iofi,5.67
Kobo,4.49
