Member,Percent
Watame,43.47
Towa,38.15
Suisei,38.11
Raden,37.26
AZki,33.86
Nene,33.49
Ayame,33.2
Kanata,32.88
Aqua,30.83
Iroha,30.23
Lamy,29.16
Shiori,28.93
Kanade,28.74
Marine,28.47
Okayu,28.12
Matsuri,27.63
Flare,27.61
Fubuki,26.72
FuwaMoco,26.53
Miko,26.28
Amelia,25.62
Luna,25.13
Hajime,25.13
Mio,24.97
Noel,24.84
Ina,24.72
Sora,24.04
Kronii,23.6
Gura,23.36
Botan,23.19
Koyori,22.26
IRyS,22.17
Chloe,21.73
Ririka,21.63
Kiara,21.45
Polka,21.4
Fauna,20.63
Pekora,20.25
Roboco,19.75
Mumei,19.49
Nerissa,19.32
Choco,18.31
Aki,17.79
Korone,17.72
Subaru,17.59
Calli,16.69
Laplus,16.23
Bijou,16.02
Kaela,15.8
Lui,14.58
Reine,14.2
Baelz,12.94
Haato,12.86
Ao,11.91
Risu,11.33
Zeta,11.12
Anya,11.09
Ollie,8.05
Iofi,6.89
Kobo,5.58
