Member,Percent
Watame,35.63
Chloe,31.36
Luna,30.81
Flare,29.52
Raden,29.17
Shion,27.85
Suisei,27.63
Miko,27.62
Marine,27.37
Kanata,27.25
Ayame,27.1
Azki,25.78
Shiori,25.26
Iroha,25.07
Mio,24.82
Elizabeth,24.31
Ina,24.18
Noel,23.85
Hajime,23.82
Towa,23.58
Okayu,23.54
Kanade,23.11
IRyS,22.86
Lamy,22.76
Pekora,22.27
Polka,21.63
Sora,21.46
Fubuki,21.17
Ririka,21.07
Fauna,20.29
Koyori,19.44
Haato,19.41
FuwaMoco,18.95
Roboco,18.92
Baelz,18.72
Mumei,18.15
Gura,18.09
Choco,18.06
Korone,18
Nerissa,17.79
Aki,17.48
Gigi,17.07
Kronii,16.96
Raora,16.95
Ao,16.47
Kiara,16.42
Cecilia,16.08
Subaru,16.04
Calli,15.9
Amelia,15.54
Botan,15.48
Laplus,15.12
Lui,14.87
Matsuri,13.55
Risu,13.36
Kaela,13.28
Anya,12.76
Bijou,11.38
Reine,9.63
Zeta,9.04
Ollie,6.8
Iofi,6.08
Kobo,4.75
Moona,4.67
