Member,Percent
Watame,47.1
Ayame,43.4
Miko,37.77
Kanata,35.65
Raden,34.14
Laplus,32.56
Suisei,31.67
Aqua,31.62
Mumei,31.23
Amelia,30.64
Lamy,30.61
FuwaMoco,29.36
Baelz,29.11
AZki,28.86
Iroha,28.62
Sora,28.34
Nene,28.03
Fubuki,27.26
Marine,26.82
Towa,26.8
Ina,26.75
Chloe,25.69
Shiori,25.05
Okayu,23.92
Mio,23.76
Aki,23.27
Koyori,23.02
Luna,22.9
Flare,22.85
IRyS,22.48
Ririka,21.99
Pekora,21.82
Kanade,21.58
Fauna,21.56
Kronii,20.8
Kiara,20.63
Subaru,20.14
Polka,19.68
Nerissa,19.62
Botan,19.49
Hajime,18.5
Calli,18.48
Noel,18.31
Haato,17.8
Matsuri,17.71
Korone,17.57
Lui,16.35
Ao,16.15
Choco,16.05
Roboco,15.69
Bijou,14.05
Kaela,13.87
Reine,13.74
Risu,12.15
Anya,11.39
Zeta,10.8
Ollie,10.5
Moona,7.74
Kobo,6.69
Iofi,6.65
